stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
Yoruba are hypocrites,ethnicity_region,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,ro,Yoruba are hypocrites,Fulani  *
igbo are thieves,ethnicity_region,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,igbo are thieves,Fulani  *
hausa are dull,ethnicity_region,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,fr,hausa are dull,Fulani  *
fulanis are kidnappers,ethnicity_region,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,sv,fulanis are kidnappers,Fulani  *
Muslims are terrorist,religion,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,Muslims are terrorist,Fulani  *
Young people are stupid,age,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,Young people are stupid,Fulani  *
the old people are wise,age,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,the old people are wise,Fulani  *
Doctors/nurses are promiscuous,profession,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,fr,Doctors/nurses are promiscuous,Fulani  *
uniform personnel are promiscuous,profession,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,it,uniform personnel are promiscuous,Fulani  *
nurses are rude,profession,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,ro,nurses are rude,Fulani  *
Youruba men are refreed to as demons when it comes to relationships.,misc,55,Male *,26–35 *,Employed *,Government  *,Islam  *,Nigeria *,Nigerian *,en,Youruba men are refreed to as demons when it comes to relationships.,Fulani  *
Women are nurturing,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,ro,Women are nurturing,Yoruba *
women are emotional,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are emotional,Yoruba *
women are talkative,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are talkative,Yoruba *
women are bad at math and science,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are bad at math and science,Yoruba *
women are irrational,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are irrational,Yoruba *
women are passive,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are passive,Yoruba *
women are natural caregivers,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are natural caregivers,Yoruba *
women are more suited to domestic roles,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are more suited to domestic roles,Yoruba *
women are weaker than men,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,women are weaker than men,Yoruba *
women are bad drivers,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,af,women are bad drivers,Yoruba *
women are overly sensitive,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are overly sensitive,Yoruba *
women are jealous or catty,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are jealous or catty,Yoruba *
women love shopping,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women love shopping,Yoruba *
women are obsessed with appearance,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are obsessed with appearance,Yoruba *
women are indecisive,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,women are indecisive,Yoruba *
women are less ambitious,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are less ambitious,Yoruba *
women are bad at sports,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are bad at sports,Yoruba *
women are more suited to teaching or nursing,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are more suited to teaching or nursing,Yoruba *
women can’t handle pressure,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women can’t handle pressure,Yoruba *
women are drama queens,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,women are drama queens,Yoruba *
women are always multitasking,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are always multitasking,Yoruba *
women are clean and organized,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are clean and organized,Yoruba *
women are naturally maternal,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are naturally maternal,Yoruba *
women are more cooperative than competitive,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are more cooperative than competitive,Yoruba *
women need male protection,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women need male protection,Yoruba *
women gossip a lot,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women gossip a lot,Yoruba *
women are submissive,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are submissive,Yoruba *
women are intuitive rather than logical,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are intuitive rather than logical,Yoruba *
women are better at raising children,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are better at raising children,Yoruba *
women aren’t interested in sex as much as men,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women aren’t interested in sex as much as men,Yoruba *
women cry easily,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women cry easily,Yoruba *
women are bad leaders,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are bad leaders,Yoruba *
women overthink everything,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women overthink everything,Yoruba *
women are manipulative,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are manipulative,Yoruba *
women are afraid of confrontation,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are afraid of confrontation,Yoruba *
women want to get married and have kids,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,women want to get married and have kids,Yoruba *
women are always dieting,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,af,women are always dieting,Yoruba *
women use their looks to get ahead,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women use their looks to get ahead,Yoruba *
women are more polite or well-mannered.,women,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are more polite or well-mannered.,Yoruba *
Men are strong,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,sv,Men are strong,Yoruba *
men are stoic,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,sv,men are stoic,Yoruba *
men don’t cry,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,fr,men don’t cry,Yoruba *
men are logical,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,es,men are logical,Yoruba *
men are natural leaders,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,ca,men are natural leaders,Yoruba *
men are assertive,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men are assertive,Yoruba *
men are aggressive,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,it,men are aggressive,Yoruba *
men are bad at expressing emotions,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are bad at expressing emotions,Yoruba *
men are dominant,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,es,men are dominant,Yoruba *
men are protectors,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are protectors,Yoruba *
men are providers,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,da,men are providers,Yoruba *
men are competitive,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,it,men are competitive,Yoruba *
men love sports,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men love sports,Yoruba *
men are handy or good with tools,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are handy or good with tools,Yoruba *
men are messy,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,da,men are messy,Yoruba *
men hate asking for directions,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men hate asking for directions,Yoruba *
men are bad at multitasking,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,sv,men are bad at multitasking,Yoruba *
men think about sex all the time,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men think about sex all the time,Yoruba *
men are emotionally unavailable,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are emotionally unavailable,Yoruba *
men are afraid of commitment,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are afraid of commitment,Yoruba *
men are always confident,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are always confident,Yoruba *
men are driven by ego,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,da,men are driven by ego,Yoruba *
men are insensitive,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men are insensitive,Yoruba *
men are better at math and science,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are better at math and science,Yoruba *
men don’t need help,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,men don’t need help,Yoruba *
men are more rational than emotional,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are more rational than emotional,Yoruba *
men are less nurturing,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,fr,men are less nurturing,Yoruba *
men are more career-focused,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are more career-focused,Yoruba *
men aren’t interested in fashion,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men aren’t interested in fashion,Yoruba *
men are not good caregivers,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are not good caregivers,Yoruba *
men cheat more often,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men cheat more often,Yoruba *
men are tough,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are tough,Yoruba *
men like action and violence,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men like action and violence,Yoruba *
men can’t take care of babies,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men can’t take care of babies,Yoruba *
men are always the breadwinners,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are always the breadwinners,Yoruba *
men fear vulnerability,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,sv,men fear vulnerability,Yoruba *
men must be successful to be respected,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men must be successful to be respected,Yoruba *
men are bad listeners,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men are bad listeners,Yoruba *
men don’t cook or clean,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men don’t cook or clean,Yoruba *
men are simple-minded,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,da,men are simple-minded,Yoruba *
men are not detail-oriented.,men,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men are not detail-oriented.,Yoruba *
People from [XYZ ethnic group] are aggressive,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,People from [XYZ ethnic group] are aggressive,Yoruba *
people from [XYZ ethnic group] are lazy,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are lazy,Yoruba *
people from [XYZ ethnic group] are uneducated,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are uneducated,Yoruba *
people from [XYZ ethnic group] are good at math,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are good at math,Yoruba *
people from [XYZ ethnic group] are good dancers,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are good dancers,Yoruba *
people from [XYZ ethnic group] are naturally athletic,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are naturally athletic,Yoruba *
people from [XYZ ethnic group] are cheap or stingy,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are cheap or stingy,Yoruba *
people from [XYZ ethnic group] are criminals,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are criminals,Yoruba *
people from [XYZ ethnic group] are submissive,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are submissive,Yoruba *
people from [XYZ ethnic group] are terrorists,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are terrorists,Yoruba *
people from [XYZ ethnic group] are always loud,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are always loud,Yoruba *
people from [XYZ ethnic group] are bad drivers,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are bad drivers,Yoruba *
people from [XYZ ethnic group] are dirty,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are dirty,Yoruba *
people from [XYZ ethnic group] are oversexed,ethnicity_region,56,Male *,26–35 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,people from [XYZ ethnic group] are oversexed,Yoruba *
